vel,fe/h,isotope,13m,15m,20m,25m,30m,40m,60m,80m,120m
300,0,S35,4.2837e-32,7.5591e-24,1.4990000000000001e-31,1.0312e-31,1.9831000000000002e-31,2.073e-31,5.2791e-32,6.2701e-32,7.3382e-32
300,0,S36,5.3414e-07,6.1269e-07,8.2559e-07,1.0842e-06,1.3131e-06,1.8297e-06,3.0295e-06,4.3677e-06,7.0786e-06
300,0,S37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Cl33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Cl34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Cl35,4.718e-05,5.4074e-05,7.2738e-05,9.5503e-05,0.00011561,0.00016092,0.00026659,0.00038401,0.00062332
300,0,Cl36,5.0105e-09,2.1553e-08,8.3116e-08,1.3234e-07,2.0312e-07,4.2333e-07,6.5105e-07,1.0825e-06,1.2408e-06
300,0,Cl37,1.6112e-05,1.885e-05,2.6405e-05,3.4786e-05,4.2583e-05,6.0777e-05,9.9418e-05,0.00014592,0.00022877
300,0,Cl38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Ar36,0.00043035,0.00049331,0.00066381,0.00087164,0.0010553,0.0014691,0.0024335,0.003506,0.0056891
300,0,Ar37,2.6759e-26,5.6891e-19,4.6525e-25,9.940400000000001e-24,3.537699999999999e-21,5.2171e-23,1.3205999999999999e-21,3.5865999999999996e-22,3.5709e-23
300,0,Ar38,8.2614e-05,9.4755e-05,0.00012765,0.00016758,0.00020295,0.00028272,0.00046817,0.00067495,0.0010942
300,0,Ar39,7.5344e-26,3.5030000000000003e-19,2.4212e-24,6.956e-24,4.790500000000001e-25,2.237e-24,4.7151e-27,2.9542e-27,3.6168000000000005e-27
300,0,Ar40,1.3909e-07,1.5953e-07,2.1493e-07,2.8229e-07,3.419e-07,4.7646e-07,7.894e-07,1.1474e-06,1.855e-06
300,0,Ar41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,K37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,K38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,K39,2.1904e-05,2.5128e-05,3.3864e-05,4.4475e-05,5.3867e-05,7.507e-05,0.00012429,0.00017923,0.00029041
300,0,K40,4.4005e-08,6.7918e-08,1.4331e-07,2.0973e-07,2.7969e-07,4.7499e-07,7.2476e-07,1.1252e-06,1.4095e-06
300,0,K41,1.6676e-06,1.9218e-06,2.6011e-06,3.3917e-06,4.1053e-06,5.71e-06,9.4232e-06,1.3658e-05,2.2096e-05
300,0,K42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Ca40,0.0004773,0.00054722,0.00073663,0.0009673,0.0011712,0.001631,0.0027014,0.0038926,0.0063143
300,0,Ca41,9.7452e-08,2.9699e-07,9.6547e-07,1.5722e-06,2.1959e-06,4.0544e-06,6.0695e-06,9.6914e-06,1.0918e-05
300,0,Ca42,3.3605e-06,3.9371e-06,5.496e-06,6.9915e-06,8.5194e-06,1.1956e-05,1.9561e-05,2.9262e-05,4.6455e-05
300,0,Ca43,7.153e-07,8.2869e-07,1.1369e-06,1.461e-06,1.7729e-06,2.4746e-06,4.0818e-06,5.9678e-06,9.606e-06
300,0,Ca44,1.1299e-05,1.2962e-05,1.7464e-05,2.2913e-05,2.7745e-05,3.8645e-05,6.3999e-05,9.2276e-05,0.00014961
300,0,Ca45,2.1985000000000002e-31,3.8117e-23,7.553700000000001e-31,5.2891e-31,1.0164000000000001e-30,1.0634e-30,2.7142e-31,3.2234e-31,3.7727e-31
300,0,Ca46,2.265e-08,2.5969e-08,3.4963e-08,4.5913e-08,5.5594e-08,7.7424e-08,1.2823e-07,1.8483e-07,2.9977e-07
300,0,Ca47,8.3126e-36,1.3594000000000001e-27,2.8379e-35,2.0028e-35,3.8480000000000003e-35,4.0248000000000005e-35,1.0288e-35,1.222e-35,1.4302e-35
300,0,Ca48,1.1051e-06,1.2675e-06,1.7078e-06,2.2427e-06,2.7161e-06,3.7844e-06,6.2664e-06,9.0338e-06,1.4642e-05
300,0,Ca49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Sc41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Sc42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Sc43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Sc44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Sc45,3.5941e-07,4.1528e-07,5.7042e-07,7.5723e-07,9.2313e-07,1.307e-06,2.1533e-06,3.1012e-06,4.9396e-06
300,0,Sc46,8.2446e-32,2.1473e-23,3.7931000000000003e-31,2.0014e-31,3.9275e-31,4.0429e-31,9.614e-32,1.1419e-31,1.337e-31
300,0,Sc47,6.334799999999999e-36,1.0361e-27,2.1627e-35,1.5264e-35,2.9326e-35,3.0674e-35,7.8407e-36,9.313199999999999e-36,1.0899e-35
300,0,Sc48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Sc49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Ti44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Ti45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Ti46,1.9037e-06,2.1858e-06,2.9495e-06,3.8656e-06,4.6825e-06,6.5242e-06,1.0796e-05,1.5598e-05,2.5262e-05
300,0,Ti47,1.7507e-06,2.004e-06,2.6886e-06,3.5171e-06,4.253e-06,5.8993e-06,9.7818e-06,1.4092e-05,2.2962e-05
300,0,Ti48,1.7731e-05,2.0304e-05,2.7249e-05,3.5748e-05,4.3245e-05,6.0085e-05,9.9613e-05,0.00014341,0.00023327
300,0,Ti49,1.3484e-06,1.5793e-06,2.2311e-06,3.0084e-06,3.7003e-06,5.3536e-06,8.7486e-06,1.2713e-05,1.9697e-05
300,0,Ti50,1.302e-06,1.5069e-06,2.0646e-06,2.6804e-06,3.257e-06,4.5601e-06,7.5099e-06,1.0976e-05,1.7611e-05
300,0,Ti51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,V45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,V46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,V47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,V48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
